16:39:34.910 [AI Object Patrol] Generating default Object Patrol config for "chernarusplus"
16:39:34.914 [AI Patrol] Generating default Patrol config for "chernarusplus"
16:39:48.648 [Expansion Quests] Added objects set for quest ID=5101 from file=q5101
16:39:48.648 [Expansion Quests] Added objects set for quest ID=6601 from file=q6601
16:39:48.648 [Expansion Quests] Added objects set for quest ID=5201 from file=q5201
16:39:48.648 [Expansion Quests] Added objects set for quest ID=5202 from file=q5202
16:39:48.648 [Expansion Quests] Added objects set for quest ID=5203 from file=q5203
16:39:48.648 [Expansion Quests] Added objects set for quest ID=2201 from file=q2201
16:39:48.648 [Expansion Quests] Added objects set for quest ID=2202 from file=q2202
16:39:48.652 [Expansion Quests] Added objects set for quest ID=2203 from file=q2203
16:39:48.652 [Expansion Quests] Added objects set for quest ID=2204 from file=q2204
16:39:48.652 [Expansion Quests] Added objects set for quest ID=2205 from file=q2205
16:39:48.652 [Expansion Quests] Added objects set for quest ID=2101 from file=q2101
16:39:48.652 [Expansion Quests] Added objects set for quest ID=61601 from file=q61601
16:39:48.652 [Expansion Quests] Added objects set for quest ID=5102 from file=q5102
16:39:48.652 [Expansion Quests] Added objects set for quest ID=6501 from file=q6501
16:39:48.652 [Expansion Quests] Added objects set for quest ID=2102 from file=q2102
16:39:48.652 [Expansion Quests] Added objects set for quest ID=2103 from file=q2103
16:39:48.652 [Expansion Quests] Added objects set for quest ID=2104 from file=q2104
16:39:48.652 [Expansion Quests] Added objects set for quest ID=2105 from file=q2105
16:39:48.652 [Expansion Quests] Added objects set for quest ID=61501 from file=q61501
16:39:48.652 [Expansion Quests] Added objects set for quest ID=61502 from file=q61502
